totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
2.565333,163.7818, 2.004405,159.479, 0.008545676, 29.03342, 0,0,0,1,0,2.047268, 0.06116765, 0.07812726,0.1302071, 0.2488727, 0, 0
2.640333,168.2807, 1.904194,234.7339, 0.01261935, 28.99973, 0,0,0,1,0,1.947616, 0.05385715, 0.07230657,0.1064017, 0.4553529, 0.005067251, 0
2.901,183.9167, 2.248245,179.8552, 0.009726793, 29.87023, 0,15,0,1,0,2.345108, 0.07255154, 0.07782102,0.09458092, 0.2736924, 0.03747154, 0
3.101,195.9193, 2.209897,317.5175, 0.01415928, 30.15612, 0,0,0,1,0,2.236076, 0.0342632, 0.04972957,0.09261735, 0.5386757, 0.1499106, 0
3.105667,196.1974, 2.459174,185.4987, 0.008287802, 25.82593, 0,0,1,1,1,2.518891, 0.08533891, 0.07784761,0.08576467, 0.3375328, 0.0005280681, 0
3.135,197.9644, 1.122315,764.4572, 0.03729247, 29.72626, 1,0,1,0,0,1.151612, 0.04092755, 0.05443009,0.07715189, 1.690143, 0.1210572, 0
3.138,198.1389, 2.478163,204.9774, 0.009172422, 31.47228, 0,0,0,1,0,2.523879, 0.05967183, 0.0726155,0.09187755, 0.3565246, 0.03368288, 0
3.143667,198.4803, 2.083419,388.4304, 0.01725587, 26.63717, 0,0,0,1,0,2.109169, 0.03597327, 0.04220678,0.05740529, 0.7893127, 0.1098684, 0
3.145,198.5601, 2.467549,201.7032, 0.009016385, 30.11743, 0,0,0,1,0,2.526159, 0.08083081, 0.09472122,0.07400944, 0.3217009, 0.0478335, 0
3.161333,199.5386, 2.516021,211.2751, 0.009395772, 30.97655, 0,0,0,1,0,2.547729, 0.04658926, 0.05329914,0.07834985, 0.4093005, 0.02634256, 0
